source,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,,gd15_counter,5,Yasuo,yasuo,,1045,163
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,win_rate_counter,1,Seraphine,seraphine,51.47,9672,
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,win_rate_counter,2,Taric,taric,50.22,1356,
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,win_rate_counter,3,Brand,brand,50.14,3157,
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,win_rate_counter,4,Rell,rell,50.0,3742,
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,win_rate_counter,5,Braum,braum,49.96,6153,
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,gd15_counter,1,Mel,mel,,1866,618
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,gd15_counter,2,Pantheon,pantheon,,2416,490
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,gd15_counter,3,Pyke,pyke,,6416,424
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,gd15_counter,4,Velkoz,velkoz,,3107,401
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,,gd15_counter,5,Xerath,xerath,,2552,383
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,win_rate_counter,1,Nidalee,nidalee,54.02,3036,
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,win_rate_counter,2,FiddleSticks,fiddlesticks,53.23,1623,
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,win_rate_counter,3,Naafiri,naafiri,52.9,4656,
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,win_rate_counter,4,Rammus,rammus,52.55,1159,
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,win_rate_counter,5,Sejuani,sejuani,52.49,1387,
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,,gd15_counter,1,Khazix,khazix,,5397,220
