champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
19,Warwick,TOP,v2_timeseries_7_15,25,12,4,0.396825,False,2026-06-05T14:02:39+00:00
498,Xayah,BOTTOM,v2_timeseries_7_15,127,72,16,1.0,True,2026-06-05T14:02:39+00:00
101,Xerath,BOTTOM,v2_timeseries_7_15,12,3,4,0.048193,False,2026-06-05T14:02:39+00:00
101,Xerath,MIDDLE,v2_timeseries_7_15,157,86,16,0.630522,True,2026-06-05T14:02:39+00:00
101,Xerath,TOP,v2_timeseries_7_15,1,1,0,0.004016,False,2026-06-05T14:02:39+00:00
101,Xerath,UTILITY,v2_timeseries_7_15,79,48,11,0.317269,False,2026-06-05T14:02:39+00:00
5,XinZhao,JUNGLE,v2_timeseries_7_15,300,157,51,0.874636,True,2026-06-05T14:02:39+00:00
5,XinZhao,MIDDLE,v2_timeseries_7_15,5,2,2,0.014577,False,2026-06-05T14:02:39+00:00
5,XinZhao,TOP,v2_timeseries_7_15,37,16,9,0.107872,False,2026-06-05T14:02:39+00:00
5,XinZhao,UTILITY,v2_timeseries_7_15,1,1,0,0.002915,False,2026-06-05T14:02:39+00:00
157,Yasuo,BOTTOM,v2_timeseries_7_15,7,5,1,0.026923,False,2026-06-05T14:02:39+00:00
157,Yasuo,MIDDLE,v2_timeseries_7_15,169,84,26,0.65,True,2026-06-05T14:02:39+00:00
157,Yasuo,TOP,v2_timeseries_7_15,82,44,14,0.315385,False,2026-06-05T14:02:39+00:00
157,Yasuo,UTILITY,v2_timeseries_7_15,2,1,0,0.007692,False,2026-06-05T14:02:39+00:00
777,Yone,BOTTOM,v2_timeseries_7_15,2,1,0,0.006211,False,2026-06-05T14:02:39+00:00
777,Yone,MIDDLE,v2_timeseries_7_15,143,66,33,0.444099,False,2026-06-05T14:02:39+00:00
777,Yone,TOP,v2_timeseries_7_15,177,82,24,0.549689,True,2026-06-05T14:02:39+00:00
83,Yorick,MIDDLE,v2_timeseries_7_15,3,1,0,0.032258,False,2026-06-05T14:02:39+00:00
83,Yorick,TOP,v2_timeseries_7_15,89,41,14,0.956989,True,2026-06-05T14:02:39+00:00
83,Yorick,UTILITY,v2_timeseries_7_15,1,1,0,0.010753,False,2026-06-05T14:02:39+00:00
804,Yunara,BOTTOM,v2_timeseries_7_15,271,139,43,0.996324,True,2026-06-05T14:02:39+00:00
804,Yunara,MIDDLE,v2_timeseries_7_15,1,1,0,0.003676,False,2026-06-05T14:02:39+00:00
350,Yuumi,UTILITY,v2_timeseries_7_15,182,85,29,1.0,True,2026-06-05T14:02:39+00:00
904,Zaahen,JUNGLE,v2_timeseries_7_15,66,44,10,0.358696,False,2026-06-05T14:02:39+00:00
904,Zaahen,MIDDLE,v2_timeseries_7_15,4,1,1,0.021739,False,2026-06-05T14:02:39+00:00
904,Zaahen,TOP,v2_timeseries_7_15,112,45,22,0.608696,True,2026-06-05T14:02:39+00:00
904,Zaahen,UTILITY,v2_timeseries_7_15,2,2,0,0.01087,False,2026-06-05T14:02:39+00:00
154,Zac,JUNGLE,v2_timeseries_7_15,99,56,15,0.651316,True,2026-06-05T14:02:39+00:00
154,Zac,MIDDLE,v2_timeseries_7_15,9,4,1,0.059211,False,2026-06-05T14:02:39+00:00
154,Zac,TOP,v2_timeseries_7_15,37,11,10,0.243421,False,2026-06-05T14:02:39+00:00
154,Zac,UTILITY,v2_timeseries_7_15,7,4,1,0.046053,False,2026-06-05T14:02:39+00:00
238,Zed,BOTTOM,v2_timeseries_7_15,2,0,0,0.007722,False,2026-06-05T14:02:39+00:00
238,Zed,JUNGLE,v2_timeseries_7_15,52,19,10,0.200772,False,2026-06-05T14:02:39+00:00
238,Zed,MIDDLE,v2_timeseries_7_15,182,79,39,0.702703,True,2026-06-05T14:02:39+00:00
238,Zed,TOP,v2_timeseries_7_15,22,12,3,0.084942,False,2026-06-05T14:02:39+00:00
238,Zed,UTILITY,v2_timeseries_7_15,1,1,0,0.003861,False,2026-06-05T14:02:39+00:00
221,Zeri,BOTTOM,v2_timeseries_7_15,63,34,12,0.940299,True,2026-06-05T14:02:39+00:00
221,Zeri,JUNGLE,v2_timeseries_7_15,2,1,0,0.029851,False,2026-06-05T14:02:39+00:00
221,Zeri,MIDDLE,v2_timeseries_7_15,2,2,0,0.029851,False,2026-06-05T14:02:39+00:00
115,Ziggs,BOTTOM,v2_timeseries_7_15,27,15,6,0.692308,True,2026-06-05T14:02:39+00:00
115,Ziggs,MIDDLE,v2_timeseries_7_15,8,5,0,0.205128,False,2026-06-05T14:02:39+00:00
115,Ziggs,TOP,v2_timeseries_7_15,1,1,0,0.025641,False,2026-06-05T14:02:39+00:00
115,Ziggs,UTILITY,v2_timeseries_7_15,3,1,0,0.076923,False,2026-06-05T14:02:39+00:00
26,Zilean,MIDDLE,v2_timeseries_7_15,5,2,1,0.083333,False,2026-06-05T14:02:39+00:00
26,Zilean,TOP,v2_timeseries_7_15,4,3,0,0.066667,False,2026-06-05T14:02:39+00:00
26,Zilean,UTILITY,v2_timeseries_7_15,51,31,5,0.85,True,2026-06-05T14:02:39+00:00
142,Zoe,BOTTOM,v2_timeseries_7_15,1,0,1,0.006897,False,2026-06-05T14:02:39+00:00
142,Zoe,MIDDLE,v2_timeseries_7_15,123,67,22,0.848276,True,2026-06-05T14:02:39+00:00
142,Zoe,TOP,v2_timeseries_7_15,2,2,0,0.013793,False,2026-06-05T14:02:39+00:00
142,Zoe,UTILITY,v2_timeseries_7_15,19,11,4,0.131034,False,2026-06-05T14:02:39+00:00
143,Zyra,JUNGLE,v2_timeseries_7_15,48,31,5,0.489796,True,2026-06-05T14:02:39+00:00
143,Zyra,MIDDLE,v2_timeseries_7_15,2,0,1,0.020408,False,2026-06-05T14:02:39+00:00
143,Zyra,UTILITY,v2_timeseries_7_15,48,22,12,0.489796,False,2026-06-05T14:02:39+00:00
