match_id,participant_id,team_id,position,feature_version,champion_id,champion_name,individual_position,lane,role,team_surrendered,win,queue_id,game_version,game_duration_sec,collected_at
KR_8048995832,6,200,TOP,v2_timeseries_7_15,11,MasterYi,TOP,JUNGLE,NONE,False,True,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,7,200,JUNGLE,v2_timeseries_7_15,76,Nidalee,JUNGLE,JUNGLE,NONE,False,True,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,8,200,MIDDLE,v2_timeseries_7_15,777,Yone,MIDDLE,MIDDLE,SOLO,False,True,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,9,200,BOTTOM,v2_timeseries_7_15,523,Aphelios,BOTTOM,BOTTOM,CARRY,False,True,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,10,200,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,True,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048920498,1,100,TOP,v2_timeseries_7_15,126,Jayce,TOP,JUNGLE,NONE,False,False,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,2,100,JUNGLE,v2_timeseries_7_15,254,Vi,JUNGLE,JUNGLE,NONE,False,False,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,3,100,MIDDLE,v2_timeseries_7_15,112,Viktor,MIDDLE,MIDDLE,SOLO,False,False,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,4,100,BOTTOM,v2_timeseries_7_15,804,Yunara,BOTTOM,BOTTOM,CARRY,False,False,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,5,100,UTILITY,v2_timeseries_7_15,432,Bard,UTILITY,BOTTOM,SUPPORT,False,False,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,6,200,TOP,v2_timeseries_7_15,54,Malphite,TOP,TOP,SOLO,False,True,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,7,200,JUNGLE,v2_timeseries_7_15,517,Sylas,JUNGLE,JUNGLE,NONE,False,True,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,8,200,MIDDLE,v2_timeseries_7_15,61,Orianna,MIDDLE,BOTTOM,DUO,False,True,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,9,200,BOTTOM,v2_timeseries_7_15,429,Kalista,BOTTOM,BOTTOM,DUO,False,True,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048920498,10,200,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,True,420,16.2.740.1491,2036,2026-06-05T14:02:39+00:00
KR_8048655817,1,100,TOP,v2_timeseries_7_15,23,Tryndamere,TOP,TOP,SOLO,False,True,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,2,100,JUNGLE,v2_timeseries_7_15,104,Graves,JUNGLE,JUNGLE,NONE,False,True,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,3,100,MIDDLE,v2_timeseries_7_15,13,Ryze,MIDDLE,MIDDLE,SOLO,False,True,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,4,100,BOTTOM,v2_timeseries_7_15,15,Sivir,BOTTOM,BOTTOM,CARRY,False,True,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,5,100,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,True,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,6,200,TOP,v2_timeseries_7_15,8,Vladimir,TOP,TOP,SOLO,True,False,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,7,200,JUNGLE,v2_timeseries_7_15,234,Viego,JUNGLE,JUNGLE,NONE,True,False,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,8,200,MIDDLE,v2_timeseries_7_15,112,Viktor,MIDDLE,MIDDLE,SOLO,True,False,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,9,200,BOTTOM,v2_timeseries_7_15,236,Lucian,BOTTOM,BOTTOM,CARRY,True,False,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8048655817,10,200,UTILITY,v2_timeseries_7_15,89,Leona,UTILITY,BOTTOM,SUPPORT,True,False,420,16.2.740.1491,1310,2026-06-05T14:02:39+00:00
KR_8043360854,1,100,TOP,v2_timeseries_7_15,79,Gragas,TOP,JUNGLE,NONE,False,True,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,2,100,JUNGLE,v2_timeseries_7_15,233,Briar,JUNGLE,JUNGLE,NONE,False,True,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,3,100,MIDDLE,v2_timeseries_7_15,8,Vladimir,MIDDLE,TOP,SOLO,False,True,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,4,100,BOTTOM,v2_timeseries_7_15,523,Aphelios,BOTTOM,BOTTOM,CARRY,False,True,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,5,100,UTILITY,v2_timeseries_7_15,201,Braum,UTILITY,BOTTOM,SUPPORT,False,True,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,6,200,TOP,v2_timeseries_7_15,67,Vayne,TOP,JUNGLE,NONE,True,False,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,7,200,JUNGLE,v2_timeseries_7_15,54,Malphite,JUNGLE,JUNGLE,NONE,True,False,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
KR_8043360854,8,200,MIDDLE,v2_timeseries_7_15,238,Zed,MIDDLE,MIDDLE,SOLO,True,False,420,16.2.738.9684,1899,2026-06-05T14:02:39+00:00
