source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/twistedfate/counter,2026-06-06T10:26:44.574307+00:00,TwistedFate,twistedfate,MIDDLE,3,Velkoz,velkoz,52.79,466
u.gg,https://u.gg/lol/champions/twistedfate/counter,2026-06-06T10:26:44.574307+00:00,TwistedFate,twistedfate,MIDDLE,4,Diana,diana,52.19,1393
u.gg,https://u.gg/lol/champions/twistedfate/counter,2026-06-06T10:26:44.574307+00:00,TwistedFate,twistedfate,MIDDLE,5,Fizz,fizz,52.14,1916
u.gg,https://u.gg/lol/champions/viktor/counter,2026-06-06T10:26:47.567672+00:00,Viktor,viktor,MIDDLE,1,Zoe,zoe,53.27,2200
u.gg,https://u.gg/lol/champions/viktor/counter,2026-06-06T10:26:47.567672+00:00,Viktor,viktor,MIDDLE,2,Talon,talon,52.66,1597
u.gg,https://u.gg/lol/champions/viktor/counter,2026-06-06T10:26:47.567672+00:00,Viktor,viktor,MIDDLE,3,Veigar,veigar,52.39,2340
u.gg,https://u.gg/lol/champions/viktor/counter,2026-06-06T10:26:47.567672+00:00,Viktor,viktor,MIDDLE,4,Xerath,xerath,52.27,6091
u.gg,https://u.gg/lol/champions/viktor/counter,2026-06-06T10:26:47.567672+00:00,Viktor,viktor,MIDDLE,5,Kassadin,kassadin,52.25,2004
u.gg,https://u.gg/lol/champions/akali/counter,2026-06-06T10:26:51.709138+00:00,Akali,akali,MIDDLE,1,Vex,vex,55.28,1259
u.gg,https://u.gg/lol/champions/akali/counter,2026-06-06T10:26:51.709138+00:00,Akali,akali,MIDDLE,2,Veigar,veigar,55.04,1399
u.gg,https://u.gg/lol/champions/akali/counter,2026-06-06T10:26:51.709138+00:00,Akali,akali,MIDDLE,3,TwistedFate,twistedfate,54.79,2347
u.gg,https://u.gg/lol/champions/akali/counter,2026-06-06T10:26:51.709138+00:00,Akali,akali,MIDDLE,4,Jayce,jayce,54.32,405
u.gg,https://u.gg/lol/champions/akali/counter,2026-06-06T10:26:51.709138+00:00,Akali,akali,MIDDLE,5,Lissandra,lissandra,53.55,2112
u.gg,https://u.gg/lol/champions/braum/counter,2026-06-06T10:26:53.809356+00:00,Braum,braum,UTILITY,1,Zilean,zilean,58.77,832
u.gg,https://u.gg/lol/champions/braum/counter,2026-06-06T10:26:53.809356+00:00,Braum,braum,UTILITY,2,Senna,senna,54.63,2182
u.gg,https://u.gg/lol/champions/braum/counter,2026-06-06T10:26:53.809356+00:00,Braum,braum,UTILITY,3,Taric,taric,53.6,472
u.gg,https://u.gg/lol/champions/braum/counter,2026-06-06T10:26:53.809356+00:00,Braum,braum,UTILITY,4,Rell,rell,52.92,1591
u.gg,https://u.gg/lol/champions/braum/counter,2026-06-06T10:26:53.809356+00:00,Braum,braum,UTILITY,5,Seraphine,seraphine,51.85,2966
u.gg,https://u.gg/lol/champions/orianna/counter,2026-06-06T10:26:55.702671+00:00,Orianna,orianna,MIDDLE,1,AurelionSol,aurelionsol,58.64,440
u.gg,https://u.gg/lol/champions/orianna/counter,2026-06-06T10:26:55.702671+00:00,Orianna,orianna,MIDDLE,2,XinZhao,xinzhao,58.03,417
u.gg,https://u.gg/lol/champions/orianna/counter,2026-06-06T10:26:55.702671+00:00,Orianna,orianna,MIDDLE,3,Xerath,xerath,57.31,1511
u.gg,https://u.gg/lol/champions/orianna/counter,2026-06-06T10:26:55.702671+00:00,Orianna,orianna,MIDDLE,4,Ekko,ekko,56.34,694
u.gg,https://u.gg/lol/champions/orianna/counter,2026-06-06T10:26:55.702671+00:00,Orianna,orianna,MIDDLE,5,Brand,brand,56.19,299
u.gg,https://u.gg/lol/champions/sivir/counter,2026-06-06T10:26:59.941152+00:00,Sivir,sivir,BOTTOM,1,Twitch,twitch,56.04,1126
u.gg,https://u.gg/lol/champions/sivir/counter,2026-06-06T10:26:59.941152+00:00,Sivir,sivir,BOTTOM,2,KogMaw,kogmaw,55.8,371
u.gg,https://u.gg/lol/champions/sivir/counter,2026-06-06T10:26:59.941152+00:00,Sivir,sivir,BOTTOM,3,Senna,senna,54.68,1710
u.gg,https://u.gg/lol/champions/sivir/counter,2026-06-06T10:26:59.941152+00:00,Sivir,sivir,BOTTOM,4,Yasuo,yasuo,54.26,282
u.gg,https://u.gg/lol/champions/sivir/counter,2026-06-06T10:26:59.941152+00:00,Sivir,sivir,BOTTOM,5,Ashe,ashe,53.71,4126
u.gg,https://u.gg/lol/champions/blitzcrank/counter,2026-06-06T10:27:02.880337+00:00,Blitzcrank,blitzcrank,UTILITY,1,Taric,taric,56.04,389
u.gg,https://u.gg/lol/champions/blitzcrank/counter,2026-06-06T10:27:02.880337+00:00,Blitzcrank,blitzcrank,UTILITY,2,Braum,braum,53.99,1993
u.gg,https://u.gg/lol/champions/blitzcrank/counter,2026-06-06T10:27:02.880337+00:00,Blitzcrank,blitzcrank,UTILITY,3,Rakan,rakan,53.28,1068
u.gg,https://u.gg/lol/champions/blitzcrank/counter,2026-06-06T10:27:02.880337+00:00,Blitzcrank,blitzcrank,UTILITY,4,Leona,leona,52.89,2626
u.gg,https://u.gg/lol/champions/blitzcrank/counter,2026-06-06T10:27:02.880337+00:00,Blitzcrank,blitzcrank,UTILITY,5,Alistar,alistar,52.71,1624
u.gg,https://u.gg/lol/champions/khazix/counter,2026-06-06T10:27:05.089987+00:00,Khazix,khazix,JUNGLE,1,Naafiri,naafiri,56.7,2425
