match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8216087116,200,v1_15min,False,420,16.10.775.1511,2128,2026-05-14T19:59:29+00:00,1388,6,0,2,0,44,0.4,1,0,0,1
KR_8170659855,100,v1_15min,False,420,16.7.760.9485,2219,2026-05-14T19:59:29+00:00,-4073,-6,1,0,0,-91,-0.8,-1,1,-9,-1
KR_8170659855,200,v1_15min,False,420,16.7.760.9485,2219,2026-05-14T19:59:29+00:00,4073,6,-1,0,0,91,0.8,1,-1,9,1
KR_8170593819,100,v1_15min,False,420,16.7.760.9485,1488,2026-05-14T19:59:29+00:00,-7290,-15,-3,-1,0,-54,-1.2,-1,-1,1,-4
KR_8170593819,200,v1_15min,False,420,16.7.760.9485,1488,2026-05-14T19:59:29+00:00,7290,15,3,1,0,54,1.2,1,1,-1,4
KR_8169168567,100,v1_15min,False,420,16.7.760.9485,1308,2026-05-14T19:59:29+00:00,-5777,-11,-1,0,0,-61,-0.6,-1,-1,8,-5
KR_8169168567,200,v1_15min,False,420,16.7.760.9485,1308,2026-05-14T19:59:29+00:00,5777,11,1,0,0,61,0.6,1,1,-8,5
KR_8169117209,100,v1_15min,False,420,16.7.760.9485,2149,2026-05-14T19:59:29+00:00,-1264,-5,0,-1,0,-8,-0.4,-1,1,-8,3
KR_8169117209,200,v1_15min,False,420,16.7.760.9485,2149,2026-05-14T19:59:29+00:00,1264,5,0,1,0,8,0.4,1,-1,8,-3
KR_8169088208,100,v1_15min,False,420,16.7.760.9485,958,2026-05-14T19:59:29+00:00,3401,9,0,1,0,38,1.4,1,1,-1,1
KR_8169088208,200,v1_15min,True,420,16.7.760.9485,958,2026-05-14T19:59:29+00:00,-3401,-9,0,-1,0,-38,-1.4,-1,-1,1,-1
KR_8169039006,100,v1_15min,False,420,16.7.760.9485,1892,2026-05-14T19:59:29+00:00,6018,14,1,0,0,3,1.0,1,1,-6,5
KR_8169039006,200,v1_15min,False,420,16.7.760.9485,1892,2026-05-14T19:59:29+00:00,-6018,-14,-1,0,0,-3,-1.0,-1,-1,6,-5
KR_8167319738,100,v1_15min,False,420,16.7.760.9485,1883,2026-05-14T19:59:29+00:00,3126,3,1,-1,0,42,0.2,-1,1,0,11
KR_8167319738,200,v1_15min,False,420,16.7.760.9485,1883,2026-05-14T19:59:29+00:00,-3126,-3,-1,1,0,-42,-0.2,1,-1,0,-11
KR_8167295483,100,v1_15min,False,420,16.7.760.9485,1917,2026-05-14T19:59:29+00:00,-766,5,1,-1,0,-14,-0.2,-1,1,-4,-3
KR_8167295483,200,v1_15min,True,420,16.7.760.9485,1917,2026-05-14T19:59:29+00:00,766,-5,-1,1,0,14,0.2,1,-1,4,3
KR_8167273224,100,v1_15min,False,420,16.7.760.9485,1366,2026-05-14T19:59:29+00:00,-6191,-7,-3,-1,0,-98,-0.6,1,-1,-8,3
