match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8193621157,200,v1_15min_16_9_only,False,420,16.9.769.5709,1351,2026-06-07T21:17:16+00:00,-2199,1,-1,1,0,6,-0.2,-1,-1,8,0
KR_8193541883,100,v1_15min_16_9_only,False,420,16.9.769.5709,1908,2026-06-07T21:17:16+00:00,2098,6,1,-1,0,8,0.4,-1,1,-13,6
KR_8193541883,200,v1_15min_16_9_only,False,420,16.9.769.5709,1908,2026-06-07T21:17:16+00:00,-2098,-6,-1,1,0,-8,-0.4,1,-1,13,-6
KR_8193483271,100,v1_15min_16_9_only,False,420,16.9.769.5709,1915,2026-06-07T21:17:16+00:00,-1300,-1,-1,2,0,-28,-0.2,-1,-1,-4,2
KR_8193483271,200,v1_15min_16_9_only,False,420,16.9.769.5709,1915,2026-06-07T21:17:16+00:00,1300,1,1,-2,0,28,0.2,1,1,4,-2
KR_8207869348,100,v1_15min_16_9_only,False,420,16.9.772.8292,1371,2026-06-07T21:17:16+00:00,-3142,-7,0,0,0,-15,-0.4,-1,0,-2,-2
KR_8207869348,200,v1_15min_16_9_only,False,420,16.9.772.8292,1371,2026-06-07T21:17:16+00:00,3142,7,0,0,0,15,0.4,1,0,2,2
KR_8202508235,100,v1_15min_16_9_only,False,420,16.9.772.1032,2124,2026-06-07T21:17:16+00:00,251,1,-1,-1,0,-36,0.2,1,1,-1,-6
KR_8202508235,200,v1_15min_16_9_only,False,420,16.9.772.1032,2124,2026-06-07T21:17:16+00:00,-251,-1,1,1,0,36,-0.2,-1,-1,1,6
KR_8202433153,100,v1_15min_16_9_only,False,420,16.9.772.1032,1768,2026-06-07T21:17:16+00:00,1174,1,0,1,0,-7,0.2,1,0,0,3
KR_8202433153,200,v1_15min_16_9_only,False,420,16.9.772.1032,1768,2026-06-07T21:17:16+00:00,-1174,-1,0,-1,0,7,-0.2,-1,0,0,-3
KR_8203592129,100,v1_15min_16_9_only,True,420,16.9.772.8292,924,2026-06-07T21:17:16+00:00,-11534,-14,-4,-2,0,-149,-1.8,1,-1,-20,7
KR_8203592129,200,v1_15min_16_9_only,False,420,16.9.772.8292,924,2026-06-07T21:17:16+00:00,11534,14,4,2,0,149,1.8,-1,1,20,-7
KR_8203541128,100,v1_15min_16_9_only,False,420,16.9.772.8292,1517,2026-06-07T21:17:16+00:00,623,9,-1,2,0,-34,-0.2,1,-1,-4,5
KR_8203541128,200,v1_15min_16_9_only,False,420,16.9.772.8292,1517,2026-06-07T21:17:16+00:00,-623,-9,1,-2,0,34,0.2,-1,1,4,-5
KR_8213685567,100,v1_15min_16_9_only,False,420,16.9.772.8292,1753,2026-06-07T21:17:16+00:00,6775,10,1,0,0,82,1.2,1,1,2,-1
KR_8213685567,200,v1_15min_16_9_only,False,420,16.9.772.8292,1753,2026-06-07T21:17:16+00:00,-6775,-10,-1,0,0,-82,-1.2,-1,-1,-2,1
KR_8211462851,100,v1_15min_16_9_only,False,420,16.9.772.8292,1764,2026-06-07T21:17:16+00:00,-972,-3,0,-1,0,-48,-0.2,-1,-1,5,5
KR_8211462851,200,v1_15min_16_9_only,False,420,16.9.772.8292,1764,2026-06-07T21:17:16+00:00,972,3,0,1,0,48,0.2,1,1,-5,-5
KR_8211381960,100,v1_15min_16_9_only,False,420,16.9.772.8292,2671,2026-06-07T21:17:16+00:00,1611,-2,1,-1,0,29,0.0,1,1,-4,-1
KR_8211381960,200,v1_15min_16_9_only,False,420,16.9.772.8292,2671,2026-06-07T21:17:16+00:00,-1611,2,-1,1,0,-29,0.0,-1,-1,4,1
KR_8207936656,100,v1_15min_16_9_only,False,420,16.9.772.8292,1908,2026-06-07T21:17:16+00:00,-4722,-10,-2,0,0,-51,-0.8,1,-1,-4,-1
KR_8207936656,200,v1_15min_16_9_only,False,420,16.9.772.8292,1908,2026-06-07T21:17:16+00:00,4722,10,2,0,0,51,0.8,-1,1,4,1
KR_8202766103,100,v1_15min_16_9_only,False,420,16.9.772.1032,2293,2026-06-07T21:17:16+00:00,-661,-1,-1,1,0,16,-0.4,-1,-1,-3,1
KR_8202766103,200,v1_15min_16_9_only,False,420,16.9.772.1032,2293,2026-06-07T21:17:16+00:00,661,1,1,-1,0,-16,0.4,1,1,3,-1
KR_8202738439,100,v1_15min_16_9_only,False,420,16.9.772.1032,1493,2026-06-07T21:17:16+00:00,2237,9,-2,0,0,-29,1.0,-1,-1,-5,2
KR_8202738439,200,v1_15min_16_9_only,False,420,16.9.772.1032,1493,2026-06-07T21:17:16+00:00,-2237,-9,2,0,0,29,-1.0,1,1,5,-2
KR_8202693536,100,v1_15min_16_9_only,False,420,16.9.772.1032,1937,2026-06-07T21:17:16+00:00,-1806,-5,0,-1,0,39,0.0,-1,-1,-1,0
KR_8202693536,200,v1_15min_16_9_only,False,420,16.9.772.1032,1937,2026-06-07T21:17:16+00:00,1806,5,0,1,0,-39,0.0,1,1,1,0
KR_8202640419,100,v1_15min_16_9_only,False,420,16.9.772.1032,2098,2026-06-07T21:17:16+00:00,570,4,0,0,0,24,-0.2,1,-1,0,-2
KR_8202640419,200,v1_15min_16_9_only,False,420,16.9.772.1032,2098,2026-06-07T21:17:16+00:00,-570,-4,0,0,0,-24,0.2,-1,1,0,2
KR_8209049942,100,v1_15min_16_9_only,False,420,16.9.772.8292,1760,2026-06-07T21:17:16+00:00,-1312,-2,0,1,0,-5,-0.2,-1,0,-1,5
KR_8209049942,200,v1_15min_16_9_only,False,420,16.9.772.8292,1760,2026-06-07T21:17:16+00:00,1312,2,0,-1,0,5,0.2,1,0,1,-5
KR_8193196161,100,v1_15min_16_9_only,True,420,16.9.769.5709,914,2026-06-07T21:17:16+00:00,-5603,-9,-2,-2,0,-81,-0.8,-1,-1,-5,-1
KR_8193196161,200,v1_15min_16_9_only,False,420,16.9.769.5709,914,2026-06-07T21:17:16+00:00,5603,9,2,2,0,81,0.8,1,1,5,1
KR_8210878307,100,v1_15min_16_9_only,False,420,16.9.772.8292,1676,2026-06-07T21:17:16+00:00,4260,15,1,0,0,120,1.0,1,1,2,-1
KR_8210878307,200,v1_15min_16_9_only,False,420,16.9.772.8292,1676,2026-06-07T21:17:16+00:00,-4260,-15,-1,0,0,-120,-1.0,-1,-1,-2,1
KR_8210828396,100,v1_15min_16_9_only,False,420,16.9.772.8292,1020,2026-06-07T21:17:16+00:00,1414,4,0,1,0,61,0.6,1,0,17,-5
KR_8210828396,200,v1_15min_16_9_only,True,420,16.9.772.8292,1020,2026-06-07T21:17:16+00:00,-1414,-4,0,-1,0,-61,-0.6,-1,0,-17,5
KR_8210725880,100,v1_15min_16_9_only,False,420,16.9.772.8292,1437,2026-06-07T21:17:16+00:00,7991,8,1,-1,0,129,1.4,1,1,-4,4
KR_8210725880,200,v1_15min_16_9_only,False,420,16.9.772.8292,1437,2026-06-07T21:17:16+00:00,-7991,-8,-1,1,0,-129,-1.4,-1,-1,4,-4
KR_8196782964,100,v1_15min_16_9_only,False,420,16.9.772.1032,1412,2026-06-07T21:17:16+00:00,-6199,-12,-1,0,0,-53,-0.6,1,-1,-3,-1
KR_8196782964,200,v1_15min_16_9_only,False,420,16.9.772.1032,1412,2026-06-07T21:17:16+00:00,6199,12,1,0,0,53,0.6,-1,1,3,1
KR_8196267191,100,v1_15min_16_9_only,True,420,16.9.772.1032,1261,2026-06-07T21:17:16+00:00,-2244,-7,-1,-2,0,39,0.2,-1,-1,-7,0
KR_8196267191,200,v1_15min_16_9_only,False,420,16.9.772.1032,1261,2026-06-07T21:17:16+00:00,2244,7,1,2,0,-39,-0.2,1,1,7,0
KR_8193246611,100,v1_15min_16_9_only,True,420,16.9.769.5709,1474,2026-06-07T21:17:16+00:00,-2435,-6,-1,-1,0,-5,0.0,-1,-1,-4,1
KR_8193246611,200,v1_15min_16_9_only,False,420,16.9.769.5709,1474,2026-06-07T21:17:16+00:00,2435,6,1,1,0,5,0.0,1,1,4,-1
KR_8193182851,100,v1_15min_16_9_only,False,420,16.9.769.5709,2577,2026-06-07T21:17:16+00:00,-1963,-4,0,-1,0,8,-0.4,1,1,-5,0
